heading,count
BRIEF HISTORY OF THE PATIENT,8
TUBES/DRAINS,8
DESCRIPTION OF PROCEDURE IN DETAIL,8
TUBES,8
INDICATIONS FOR THIS PROCEDURE,8
TECHNIQUE OF PROCEDURE,8
CURRENT DIAGNOSES,8
POSTOP DIAGNOSES,8
RISKS AND BENEFITS,8
SURGICAL INDICATIONS,8
LEFT ANTERIOR DESCENDING CORONARY ARTERY,8
LEFT VENTRICULOGRAM,8
REPORTED PROCEDURE,8
FACE,8
A/P,8
AND ALLERGY HISTORY,8
DATE OF EXAMINATION,8
BIOMETRY,8
HC,8
FL,8
AC,8
MYOCARDIAL PERFUSION IMAGING,8
COMPARISONS,8
MAMMOGRAPHY INFORMATION,8
PRESENT ILLNESS,8
ESTIMATED LENGTH OF STAY,8
SUBSTANCE AND ALCOHOL HISTORY,8
IMAGING STUDIES,8
STRENGTH,8
TIME SPENT,8
PROBLEMS DIAGNOSES,8
PROCEDURES AND IMMUNIZATIONS,8
EXTERNAL GENITALIA,8
FAMILY/SOCIAL HISTORY,8
CARDIOVASCULAR EXAM,8
PROCEDURES DURING THIS HOSPITALIZATION,8
DOB,8
LABORATORY VALUES,8
DRUG ALLERGIES,8
ALLOWED CONDITIONS,8
EMPLOYER,8
PROBLEM,8
HEAD & FACE,8
NASAL,8
ORAL,8
EMERGENCY DEPARTMENT TESTING,7
OPERATIVE INDICATIONS,7
COMMENTS,7
ADDITIONAL DETAILS,7
X-RAYS,7
OPERATIVE REPORT,7
REASON FOR PROCEDURE,7
COMMENT,7
RECOMMENDATIONS AND PLAN,7
DIAGNOSTIC STUDIES/LAB DATA,7
STUDY,7
ORAL STAGE,7
PHARYNGEAL STAGE,7
CERVICAL ESOPHAGEAL STAGE,7
REASON FOR EXAMINATION,7
C2-3,7
C3-4,7
C4-5,7
C5-6,7
C6-7,7
T1-2,7
AXIS I,7
WORK STATUS,7
NUTRITIONAL HISTORY,7
HIPS,7
DISCHARGE DIET,7
RADIOGRAPHS,7
GYN,7
SYSTEMS REVIEW,7
CENTRAL NERVOUS SYSTEM,7
OPERATION AND PROCEDURE,6
INDICATIONS AND FINDINGS,6
PREOPERATIVE DX,6
POSTOPERATIVE DX,6
ANESTHETIC,6
DEVELOPMENTAL,6
SOCIAL HABITS,6
DEVICES,6
PROCEDURE DESCRIPTION,6
GROSS INTRAOPERATIVE FINDINGS,6
INTRAVENOUS FLUIDS,6
TOURNIQUET,6
ANTICOAGULATION,6
CONTRAST,6
PRIOR SURGERIES AND INTERVENTIONS,6
TECHNIQUE IN DETAIL,6
HARDWARE,6
OPERATIVE REPORT IN DETAIL,6
APPROACH,6
NEEDLE AND SPONGE COUNT,6
LOCATION,6
SPECIMEN REMOVED,6
TECHNICAL PROCEDURE,6
LEFT CIRCUMFLEX CORONARY ARTERY,6
DURATION OF SURGERY,6
PREP,6
TITLE OF THE OPERATION,6
PATIENT HISTORY,6
LABORATORIES,6
PEX,6
CLINICAL INTERPRETATION,6
SIGNS AND SYMPTOMS,6
STRESS ECG RESULTS,6
PROCEDURE AND INTERPRETATION,6
INDICATION FOR STUDY,6
L5-S1,6
TYPE OF TEST,6
EEG,6
L2-3,6
L3-4,6
L4-5,6
CXR,6
HISTORY AND HOSPITAL COURSE,6
MOOD,6
AFFECT,6
GENETIC PSYCHIATRIC HISTORY,6
SUBSTANCE USE,6
DEVELOPMENTAL HISTORY,6
FAMILY BACKGROUND,6
ACADEMIC BACKGROUND,6
PREVIOUS COUNSELING,6
DIAGNOSTIC SUMMARY AND IMPRESSION,6
IMMUNIZATION HISTORY,6
PALPATION,6
MOUTH,6
SPINE,6
DISCHARGE WEIGHT,6
BIRTH/PAST MEDICAL HISTORY,6
DIFFERENTIAL DIAGNOSES,6
POST PROCEDURE INSTRUCTIONS,6
FUNCTIONAL EXAMINATION,6
DIAGNOSTICS,6
PRINCIPAL PROCEDURE,6
CONSULTS,6
HEMATOPOIETIC,6
HEMATOLOGIC/LYMPHATIC,6
RECTAL EXAM,6
PAST MEDICAL HX,6
PAST SURGICAL HX,6
SOCIAL HX,6
PE,6
PSYCH,6
REVIEW OF X-RAYS,6
COURSE IN THE ED,6
DATE OF INJURY,6
CONTESTED CONDITION,6
DIAGNOSTIC/LABORATORY DATA,6
ER COURSE,6
ILLNESSES,6
VISUAL,6
CARDIOVASCULAR SYSTEM,6
SPECIMEN TO PATHOLOGY,5
PERFORMANCE STATUS,5
LABORATORY WORK,5
FLUIDS GIVEN,5
FINDINGS AT THE TIME OF SURGERY,5
NEUROLOGICALLY,5
CONDITION OF THE PATIENT AT THE END OF THE PROCEDURE,5
NOTE,5
CULTURES,5
IDENTIFICATION,5
RESULTS,5
POSITION,5
PREPARATION,5
PRE-OP DIAGNOSIS,5
POST-OP DIAGNOSIS,5
LOCATION OF PROCEDURE,5
INDICATIONS OF PROCEDURE,5
PREVIOUS MEDICAL HISTORY,5
PROGNOSTIC IMPRESSION,5
PROBLEMS LIST,5
TEST & X-RAY RESULTS,5
INTERPRETATIONS,5
NUCLEAR INTERPRETATION,5
REASON FOR EVALUATION,5
CONDITION UPON DISCHARGE,5
TRAVEL HISTORY,5
LABORATORY EVALUATION,5
PRESENTATION,5
EMERGENCY ROOM COURSE,5
PREVIOUS SURGERIES,5
RECORDS REVIEW,5
CURRENT SYMPTOMS,5
MEDICATIONS ON TRANSFER,5
REASON FOR NEUROLOGICAL CONSULTATION,5
PERTINENT DATA,5
